# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)               |            current_fs_time() {
 0)   0.055 us    |              current_kernel_time();
 0)   0.347 us    |            }
 0)   0.750 us    |          }
 0)               |          security_inode_follow_link() {
 0)   0.052 us    |            cap_inode_follow_link();
 0)   0.352 us    |          }
 0)   0.052 us    |          ext4_follow_link [ext4]();
 0)               |          link_path_walk() {
 0)               |            inode_permission() {
 0)               |              __inode_permission() {
 0)   0.055 us    |                generic_permission();
 0)               |                security_inode_permission() {
 0)   0.052 us    |                  cap_inode_permission();
 0)   0.358 us    |                }
 0)   0.929 us    |              }
 0)   1.201 us    |            }
 0)   1.560 us    |          }
 0)               |          do_last() {
 0)               |            lookup_fast() {
 0)               |              __d_lookup() {
 0)   0.157 us    |                _raw_spin_lock();
 0)   1.056 us    |              }
 0)   0.058 us    |              follow_managed();
 0)   1.677 us    |            }
 0)   0.051 us    |            mntget();
 0)   0.054 us    |            complete_walk();
 0)               |            may_open() {
 0)               |              inode_permission() {
 0)               |                __inode_permission() {
 0)   0.054 us    |                  generic_permission();
 0)               |                  security_inode_permission() {
 0)   0.051 us    |                    cap_inode_permission();
 0)   0.334 us    |                  }
 0)   1.025 us    |                }
 0)   1.302 us    |              }
 0)   2.002 us    |            }
 0)               |            finish_open() {
 0)               |              do_dentry_open() {
 0)               |                path_get() {
 0)   0.055 us    |                  mntget();
 0)   0.402 us    |                }
 0)   0.051 us    |                try_module_get();
 0)               |                security_file_open() {
 0)   0.116 us    |                  cap_file_open();
 0)   0.051 us    |                  __fsnotify_parent();
 0)   0.161 us    |                  fsnotify();
 0)   1.288 us    |                }
 0)               |                ext4_file_open [ext4]() {
 0)               |                  dquot_file_open() {
 0)   0.055 us    |                    generic_file_open();
 0)   0.348 us    |                  }
 0)   0.656 us    |                }
 0)   0.167 us    |                file_ra_state_init();
 0)   4.082 us    |              }
 0)   4.370 us    |            }
 0)   0.054 us    |            open_check_o_direct();
 0)   0.053 us    |            dput();
 0)               |            mntput() {
 0)   0.058 us    |              mntput_no_expire();
 0)   0.337 us    |            }
 0)               |            terminate_walk() {
 0)   0.056 us    |              dput();
 0)               |              mntput() {
 0)   0.056 us    |                mntput_no_expire();
 0)   0.335 us    |              }
 0)   0.920 us    |            }
 0) + 11.925 us   |          }
 0)               |          dput() {
 0)   0.053 us    |            _raw_spin_lock();
 0)   0.391 us    |          }
 0)               |          mntput() {
 0)   0.055 us    |            mntput_no_expire();
 0)   0.360 us    |          }
 0)   0.057 us    |          dput();
 0)               |          mntput() {
 0)   0.055 us    |            mntput_no_expire();
 0)   0.336 us    |          }
 0) + 35.665 us   |        }
 0) + 35.961 us   |      }
 0)   0.054 us    |      __fsnotify_parent();
 0)   0.054 us    |      fsnotify();
 0)               |      fd_install() {
 0)               |        __fd_install() {
 0)   0.056 us    |          _raw_spin_lock();
 0)   0.347 us    |        }
 0)   0.633 us    |      }
 0)               |      putname() {
 0)               |        final_putname() {
 0)   0.075 us    |          kmem_cache_free();
 0)   0.356 us    |        }
 0)   0.627 us    |      }
 0) + 40.771 us   |    }
 0) + 41.054 us   |  }
 0)               |  SyS_read() {
 0)               |    __fdget_pos() {
 0)   0.052 us    |      __fget_light();
 0)   0.360 us    |    }
 0)               |    vfs_read() {
 0)               |      rw_verify_area() {
 0)               |        security_file_permission() {
 0)   0.053 us    |          cap_file_permission();
 0)   0.051 us    |          __fsnotify_parent();
 0)   0.055 us    |          fsnotify();
 0)   0.950 us    |        }
 0)   1.271 us    |      }
 0)               |      new_sync_read() {
 0)   0.056 us    |        iov_iter_init();
 0)               |        generic_file_read_iter() {
 0)   0.054 us    |          _cond_resched();
 0)               |          pagecache_get_page_fixed() {
 0)   0.515 us    |            find_get_entry();
 0)   0.854 us    |          }
 0)   0.138 us    |          mark_page_accessed();
 0)   0.709 us    |          copy_page_to_iter();
 0)   0.054 us    |          put_page();
 0)               |          touch_atime() {
 0)               |            current_fs_time() {
 0)   0.054 us    |              current_kernel_time();
 0)   0.442 us    |            }
 0)   0.803 us    |          }
 0)   4.640 us    |        }
 0)   5.306 us    |      }
 0)   0.052 us    |      __fsnotify_parent();
 0)   0.059 us    |      fsnotify();
 0)   7.757 us    |    }
 0)   8.697 us    |  }
 0)               |  __do_page_fault() {
 0)   0.054 us    |    down_read_trylock();
 0)   0.055 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.086 us    |      vmacache_find();
 0)   0.378 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      anon_vma_prepare() {
 0)   0.053 us    |        _cond_resched();
 0)   0.348 us    |      }
 0)               |      alloc_pages_vma() {
 0)   0.059 us    |        get_vma_policy();
 0)   0.050 us    |        policy_nodemask();
 0)   0.054 us    |        policy_zonelist();
 0)               |        __alloc_pages_nodemask() {
 0)   0.054 us    |          _cond_resched();
 0)   0.057 us    |          next_zones_zonelist();
 0)               |          get_page_from_freelist() {
 0)   0.055 us    |            next_zones_zonelist();
 0)   0.053 us    |            next_zones_zonelist();
 0)   0.055 us    |            __zone_watermark_ok();
 0)   0.054 us    |            __mod_zone_page_state();
 0)               |            zone_statistics() {
 0)   0.054 us    |              __inc_zone_state();
 0)   0.054 us    |              __inc_zone_state();
 0)   0.640 us    |            }
 0)   2.903 us    |          }
 0)   3.833 us    |        }
 0)   5.040 us    |      }
 0)   0.053 us    |      mem_cgroup_charge_anon();
 0)   0.051 us    |      _raw_spin_lock();
 0)   0.053 us    |      add_mm_counter_fast();
 0)               |      page_add_new_anon_rmap() {
 0)   0.054 us    |        __mod_zone_page_state();
 0)               |        lru_cache_add() {
 0)   0.056 us    |          __lru_cache_add();
 0)   0.338 us    |        }
 0)   0.949 us    |      }
 0)   8.055 us    |    }
 0)   0.052 us    |    up_read();
 0)   9.878 us    |  }
 0)               |  SyS_newfstat() {
 0)               |    vfs_fstat() {
 0)               |      __fdget_raw() {
 0)   0.059 us    |        __fget_light();
 0)   0.339 us    |      }
 0)               |      vfs_getattr() {
 0)               |        security_inode_getattr() {
 0)   0.052 us    |          cap_inode_getattr();
 0)   0.332 us    |        }
 0)               |        vfs_getattr_nosec() {
 0)               |          ext4_getattr [ext4]() {
 0)   0.255 us    |            generic_fillattr();
 0)   0.188 us    |            ext4_has_inline_data [ext4]();
 0)   1.349 us    |          }
 0)   1.673 us    |        }
 0)   2.524 us    |      }
 0)   3.474 us    |    }
 0)               |    cp_new_stat() {
 0)               |      from_kuid_munged() {
 0)   0.055 us    |        map_id_up();
 0)   0.367 us    |      }
 0)               |      from_kgid_munged() {
 0)   0.052 us    |        map_id_up();
 0)   0.343 us    |      }
 0)   1.372 us    |    }
 0)   5.503 us    |  }
 0)               |  SyS_mmap() {
 0)               |    SyS_mmap_pgoff() {
 0)               |      fget() {
 0)   0.072 us    |        __fget();
 0)   0.353 us    |      }
 0)   0.053 us    |      is_file_shm_hugepages();
 0)               |      vm_mmap_pgoff() {
 0)               |        security_mmap_file() {
 0)   0.054 us    |          cap_mmap_file();
 0)   0.349 us    |        }
 0)               |        down_write() {
 0)   0.056 us    |          _cond_resched();
 0)   0.348 us    |        }
 0)               |        do_mmap_pgoff() {
 0)               |          get_unmapped_area() {
 0)               |            arch_get_unmapped_area_topdown() {
 0)   0.054 us    |              get_align_mask();
 0)   0.136 us    |              unmapped_area_topdown();
 0)   0.740 us    |            }
 0)               |            security_mmap_addr() {
 0)   0.054 us    |              cap_mmap_addr();
 0)   0.360 us    |            }
 0)   1.662 us    |          }
 0)               |          mmap_region() {
 0)   0.053 us    |            is_file_shm_hugepages();
 0)               |            vma_merge() {
 0)   0.055 us    |              can_vma_merge_before();
 0)   0.392 us    |            }
 0)               |            kmem_cache_alloc() {
 0)   0.054 us    |              _cond_resched();
 0)   0.396 us    |            }
 0)               |            ext4_file_mmap [ext4]() {
 0)               |              touch_atime() {
 0)               |                current_fs_time() {
 0)   0.055 us    |                  current_kernel_time();
 0)   0.346 us    |                }
 0)   0.642 us    |              }
 0)   0.940 us    |            }
 0)   0.051 us    |            vma_wants_writenotify();
 0)               |            vma_link() {
 0)               |              mutex_lock() {
 0)   0.053 us    |                _cond_resched();
 0)   0.458 us    |              }
 0)   0.050 us    |              __vma_link_list();
 0)               |              __vma_link_rb() {
 0)   0.063 us    |                vma_compute_subtree_gap();
 0)   0.054 us    |                vma_compute_subtree_gap();
 0)   0.053 us    |                vma_compute_subtree_gap();
 0)   0.054 us    |                vma_compute_subtree_gap();
 0)   0.054 us    |                vma_compute_subtree_gap();
 0)   0.062 us    |                vma_compute_subtree_gap();
 0)   0.062 us    |                vma_compute_subtree_gap();
 0)   0.054 us    |                vma_compute_subtree_gap();
 0)   0.050 us    |                vma_compute_subtree_gap();
 0)   2.829 us    |              }
 0)               |              __vma_link_file() {
 0)   0.054 us    |                vma_interval_tree_insert();
 0)   0.359 us    |              }
 0)   0.055 us    |              mutex_unlock();
 0)   5.008 us    |            }
 0)   0.054 us    |            vm_stat_account();
 0)   0.054 us    |            uprobe_mmap();
 0)   9.216 us    |          }
 0) + 11.460 us   |        }
 0)   0.105 us    |        up_write();
 0) + 13.293 us   |      }
 0)   0.053 us    |      fput();
 0) + 14.809 us   |    }
 0) + 15.109 us   |  }
 0)               |  SyS_mprotect() {
 0)               |    down_write() {
 0)   0.054 us    |      _cond_resched();
 0)   0.343 us    |    }
 0)               |    find_vma() {
 0)   0.072 us    |      vmacache_find();
 0)   0.069 us    |      vmacache_update();
 0)   0.787 us    |    }
 0)               |    security_file_mprotect() {
 0)   0.052 us    |      cap_file_mprotect();
 0)   0.360 us    |    }
 0)               |    mprotect_fixup() {
 0)   0.064 us    |      vma_merge();
 0)               |      split_vma() {
 0)               |        __split_vma.isra.34() {
 0)               |          kmem_cache_alloc() {
 0)   0.053 us    |            _cond_resched();
 0)   0.360 us    |          }
 0)   0.060 us    |          vma_dup_policy();
 0)   0.084 us    |          anon_vma_clone();
 0)   0.064 us    |          vma_do_get_file();
 0)               |          vma_adjust() {
 0)   0.062 us    |            uprobe_munmap();
 0)               |            mutex_lock() {
 0)   0.054 us    |              _cond_resched();
 0)   0.346 us    |            }
 0)               |            __vma_link_file() {
 0)   0.074 us    |              vma_interval_tree_insert();
 0)   0.379 us    |            }
 0)   0.092 us    |            vma_interval_tree_remove();
 0)   0.078 us    |            vma_interval_tree_insert();
 0)   0.055 us    |            __vma_link_list();
 0)               |            __vma_link_rb() {
 0)   0.054 us    |              vma_compute_subtree_gap();
 0)   0.063 us    |              vma_compute_subtree_gap();
 0)   0.056 us    |              vma_compute_subtree_gap();
 0)   0.053 us    |              vma_compute_subtree_gap();
 0)   0.052 us    |              vma_compute_subtree_gap();
 0)   0.052 us    |              vma_compute_subtree_gap();
 0)   0.060 us    |              vma_compute_subtree_gap();
 0)   0.060 us    |              vma_compute_subtree_gap();
 0)   0.052 us    |              vma_compute_subtree_gap();
 0)   0.055 us    |              vma_compute_subtree_gap();
 0)   0.055 us    |              vma_compute_subtree_gap();
 0)               |              vma_gap_callbacks_rotate() {
 0)   0.056 us    |                vma_compute_subtree_gap();
 0)   0.343 us    |              }
 0)   3.930 us    |            }
 0)   0.060 us    |            mutex_unlock();
 0)   0.053 us    |            uprobe_mmap();
 0)   0.051 us    |            uprobe_mmap();
 0)   7.849 us    |          }
 0)   9.791 us    |        }
 0) + 10.099 us   |      }
 0)               |      split_vma() {
 0)               |        __split_vma.isra.34() {
 0)               |          kmem_cache_alloc() {
 0)   0.054 us    |            _cond_resched();
 0)   0.363 us    |          }
 0)   0.061 us    |          vma_dup_policy();
 0)   0.055 us    |          anon_vma_clone();
 0)   0.055 us    |          vma_do_get_file();
 0)               |          vma_adjust() {
 0)   0.062 us    |            uprobe_munmap();
 0)               |            mutex_lock() {
 0)   0.119 us    |              _cond_resched();
 0)   0.417 us    |            }
 0)               |            __vma_link_file() {
 0)               |              vma_interval_tree_insert() {
 0)   0.070 us    |                vma_interval_tree_augment_rotate();
 0)   0.440 us    |              }
 0)   0.805 us    |            }
 0)   0.132 us    |            vma_interval_tree_remove();
 0)               |            vma_interval_tree_insert() {
 0)   0.051 us    |              vma_interval_tree_augment_rotate();
 0)   0.055 us    |              vma_interval_tree_augment_rotate();
 0)   0.713 us    |            }
 0)   0.052 us    |            __vma_link_list();
 0)               |            __vma_link_rb() {
 0)   0.051 us    |              vma_compute_subtree_gap();
 0)   0.051 us    |              vma_compute_subtree_gap();
 0)               |              vma_gap_callbacks_rotate() {
 0)   0.082 us    |                vma_compute_subtree_gap();
 0)   0.438 us    |              }
 0)               |              vma_gap_callbacks_rotate() {
 0)   0.053 us    |                vma_compute_subtree_gap();
 0)   0.342 us    |              }
 0)   7.799 us    |            }
 0)   0.064 us    |            mutex_unlock();
 0)   0.053 us    |            uprobe_mmap();
 0)   0.052 us    |            uprobe_mmap();
 0) + 12.957 us   |          }
 0) + 15.693 us   |        }
 0) + 15.996 us   |      }
 0)   0.051 us    |      vm_get_page_prot();
 0)   0.053 us    |      vma_wants_writenotify();
 0)               |      change_protection() {
 0)   0.126 us    |        _raw_spin_lock();
 0)   1.891 us    |      }
 0)   0.124 us    |      vm_stat_account();
 0)   0.063 us    |      vm_stat_account();
 0) + 30.525 us   |    }
 0)   0.051 us    |    up_write();
 0) + 33.440 us   |  }
 0)               |  SyS_mmap() {
 0)               |    SyS_mmap_pgoff() {
 0)               |      fget() {
 0)   0.091 us    |        __fget();
 0)   0.369 us    |      }
 0)   0.051 us    |      is_file_shm_hugepages();
 0)               |      vm_mmap_pgoff() {
 0)               |        security_mmap_file() {
 0)   0.052 us    |          cap_mmap_file();
 0)   0.366 us    |        }
 0)               |        down_write() {
 0)   0.052 us    |          _cond_resched();
 0)   0.341 us    |        }
 0)               |        do_mmap_pgoff() {
 0)               |          get_unmapped_area() {
 0)   0.067 us    |            arch_get_unmapped_area_topdown();
 0)               |            security_mmap_addr() {
 0)   0.058 us    |              cap_mmap_addr();
 0)   0.345 us    |            }
 0)   1.017 us    |          }
 0)               |          mmap_region() {
 0)               |            do_munmap() {
 0)               |              find_vma() {
 0)   0.071 us    |                vmacache_find();
 0)   0.065 us    |                vmacache_update();
 0)   0.679 us    |              }
 0)               |              find_vma() {
 0)   0.064 us    |                vmacache_find();
 0)   0.365 us    |              }
 0)               |              __split_vma.isra.34() {
 0)               |                kmem_cache_alloc() {
 0)   0.053 us    |                  _cond_resched();
 0)   0.370 us    |                }
 0)   0.054 us    |                vma_dup_policy();
 0)   0.138 us    |                anon_vma_clone();
 0)   0.053 us    |                vma_do_get_file();
 0)               |                vma_adjust() {
 0)   0.152 us    |                  uprobe_munmap();
 0)               |                  mutex_lock() {
 0)   0.053 us    |                    _cond_resched();
 0)   0.420 us    |                  }
 0)               |                  __vma_link_file() {
 0)   0.089 us    |                    vma_interval_tree_insert();
 0)   0.395 us    |                  }
 0)   0.085 us    |                  vma_interval_tree_remove();
 0)   0.093 us    |                  vma_interval_tree_insert();
 0)   0.054 us    |                  __vma_link_list();
 0)               |                  __vma_link_rb() {
 0)   0.053 us    |                    vma_compute_subtree_gap();
 0)   0.055 us    |                    vma_compute_subtree_gap();
 0)               |                    vma_gap_callbacks_rotate() {
 0)   0.060 us    |                      vma_compute_subtree_gap();
 0)   0.348 us    |                    }
 0)   1.275 us    |                  }
 0)   0.053 us    |                  mutex_unlock();
 0)   0.050 us    |                  uprobe_mmap();
 0)   0.054 us    |                  uprobe_mmap();
 0)   5.138 us    |                }
 0)   7.403 us    |              }
 0)               |              vma_rb_erase() {
 0)   0.070 us    |                vma_compute_subtree_gap();
 0)   0.430 us    |              }
 0)   0.061 us    |              vma_compute_subtree_gap();
 0)   0.061 us    |              vma_compute_subtree_gap();
 0)               |              unmap_region() {
 0)               |                lru_add_drain() {
 0)               |                  lru_add_drain_cpu() {
 0)               |                    pagevec_lru_move_fn() {
 0)   0.053 us    |                      _raw_spin_lock_irqsave();
 0)   0.056 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.061 us    |                        mem_cgroup_update_lru_size();
 0)   0.051 us    |                        __mod_zone_page_state();
 0)   0.715 us    |                      }
 0)   0.053 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.055 us    |                        mem_cgroup_update_lru_size();
 0)   0.055 us    |                        __mod_zone_page_state();
 0)   0.663 us    |                      }
 0)   0.051 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.054 us    |                        mem_cgroup_update_lru_size();
 0)   0.054 us    |                        __mod_zone_page_state();
 0)   0.688 us    |                      }
 0)   0.052 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.054 us    |                        mem_cgroup_update_lru_size();
 0)   0.052 us    |                        __mod_zone_page_state();
 0)   0.663 us    |                      }
 0)   0.051 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.054 us    |                        mem_cgroup_update_lru_size();
 0)   0.054 us    |                        __mod_zone_page_state();
 0)   1.156 us    |                      }
 0)   0.123 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.055 us    |                        mem_cgroup_update_lru_size();
 0)   0.051 us    |                        __mod_zone_page_state();
 0)   0.749 us    |                      }
 0)   0.118 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.053 us    |                        mem_cgroup_update_lru_size();
 0)   0.052 us    |                        __mod_zone_page_state();
 0)   0.789 us    |                      }
 0)   0.060 us    |                      _raw_spin_unlock_irqrestore();
 0)               |                      release_pages() {
 0)   0.063 us    |                        free_hot_cold_page_list();
 0)   0.424 us    |                      }
 0) + 10.955 us   |                    }
 0) + 11.285 us   |                  }
 0) + 11.587 us   |                }
 0)   0.057 us    |                tlb_gather_mmu();
 0)               |                unmap_vmas() {
 0)               |                  unmap_single_vma() {
 0)   0.055 us    |                    uprobe_munmap();
 0)   0.051 us    |                    mem_cgroup_uncharge_start();
 0)   0.054 us    |                    _raw_spin_lock();
 0)   0.092 us    |                    sync_mm_rss();
 0)   0.051 us    |                    _cond_resched();
 0)   0.063 us    |                    mem_cgroup_uncharge_end();
 0)   2.054 us    |                  }
 0)   2.394 us    |                }
 0)               |                free_pgtables() {
 0)   0.076 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    mutex_lock() {
 0)   0.054 us    |                      _cond_resched();
 0)   0.344 us    |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.077 us    |                      vma_interval_tree_remove();
 0)   0.380 us    |                    }
 0)   0.051 us    |                    mutex_unlock();
 0)   1.564 us    |                  }
 0)   0.091 us    |                  free_pgd_range();
 0)   2.552 us    |                }
 0)               |                tlb_finish_mmu() {
 0)   0.054 us    |                  tlb_flush_mmu();
 0)   0.352 us    |                }
 0) + 18.246 us   |              }
 0)   0.062 us    |              vm_stat_account();
 0)               |              remove_vma() {
 0)   0.053 us    |                _cond_resched();
 0)               |                vma_do_fput() {
 0)   0.053 us    |                  fput();
 0)   0.350 us    |                }
 0)   0.070 us    |                kmem_cache_free();
 0)   1.257 us    |              }
 0) + 31.347 us   |            }
 0)   0.054 us    |            is_file_shm_hugepages();
 0)               |            security_vm_enough_memory_mm() {
 0)               |              cap_vm_enough_memory() {
 0)   0.053 us    |                cap_capable();
 0)   0.064 us    |                __vm_enough_memory();
 0)   0.667 us    |              }
 0)   0.971 us    |            }
 0)               |            vma_merge() {
 0)   0.054 us    |              can_vma_merge_before();
 0)   0.393 us    |            }
 0)               |            kmem_cache_alloc() {
 0)   0.054 us    |              _cond_resched();
 0)   0.399 us    |            }
 0)               |            ext4_file_mmap [ext4]() {
 0)               |              touch_atime() {
 0)               |                current_fs_time() {
 0)   0.064 us    |                  current_kernel_time();
 0)   0.427 us    |                }
 0)   0.731 us    |              }
 0)   1.398 us    |            }
 0)   0.051 us    |            vma_wants_writenotify();
 0)               |            vma_link() {
 0)               |              mutex_lock() {
 0)   0.055 us    |                _cond_resched();
 0)   0.371 us    |              }
 0)   0.052 us    |              __vma_link_list();
 0)               |              __vma_link_rb() {
 0)   0.133 us    |                vma_compute_subtree_gap();
 0)   0.099 us    |                vma_compute_subtree_gap();
 0)   0.051 us    |                vma_compute_subtree_gap();
 0)   1.082 us    |              }
 0)               |              __vma_link_file() {
 0)   0.075 us    |                vma_interval_tree_insert();
 0)   0.380 us    |              }
 0)   0.053 us    |              mutex_unlock();
 0)   3.327 us    |            }
 0)   0.063 us    |            vm_stat_account();
 0)   0.054 us    |            uprobe_mmap();
 0) + 40.678 us   |          }
 0) + 42.281 us   |        }
 0)   0.054 us    |        up_write();
 0) + 44.098 us   |      }
 0)   0.054 us    |      fput();
 0) + 45.602 us   |    }
 0) + 45.909 us   |  }
 0)               |  __do_page_fault() {
 0)   0.051 us    |    down_read_trylock();
 0)   0.051 us    |    _cond_resched();
 0)               |    find_vma() {
 0)   0.067 us    |      vmacache_find();
 0)   0.050 us    |      vmacache_update();
 0)   0.669 us    |    }
 0)               |    handle_mm_fault() {
 0)               |      do_cow_fault() {
 0)               |        anon_vma_prepare() {
 0)   0.054 us    |          _cond_resched();
 0)               |          kmem_cache_alloc() {
 0)   0.054 us    |            _cond_resched();
 0)   0.401 us    |          }
 0)               |          find_mergeable_anon_vma() {
 0)   0.065 us    |            reusable_anon_vma();
 0)   0.052 us    |            reusable_anon_vma();
 0)   0.643 us    |          }
 0)               |          kmem_cache_alloc() {
 0)   0.053 us    |            _cond_resched();
 0)   0.383 us    |          }
 0)               |          down_write() {
 0)   0.050 us    |            _cond_resched();
 0)   0.339 us    |          }
 0)   0.052 us    |          _raw_spin_lock();
 0)   0.052 us    |          anon_vma_interval_tree_insert();
 0)   0.053 us    |          up_write();
 0)   3.996 us    |        }
 0)               |        alloc_pages_vma() {
 0)   0.063 us    |          get_vma_policy();
 0)   0.050 us    |          policy_nodemask();
 0)   0.055 us    |          policy_zonelist();
 0)               |          __alloc_pages_nodemask() {
 0)   0.053 us    |            _cond_resched();
 0)   0.053 us    |            next_zones_zonelist();
 0)               |            get_page_from_freelist() {
 0)   0.053 us    |              next_zones_zonelist();
 0)   0.054 us    |              next_zones_zonelist();
 0)   0.060 us    |              __zone_watermark_ok();
 0)   0.052 us    |              __mod_zone_page_state();
 0)               |              zone_statistics() {
 0)   0.053 us    |                __inc_zone_state();
 0)   0.053 us    |                __inc_zone_state();
 0)   0.710 us    |              }
 0)   2.749 us    |            }
 0)   3.647 us    |          }
 0)   4.900 us    |        }
 0)   0.054 us    |        mem_cgroup_charge_anon();
 0)               |        __do_fault() {
 0)               |          filemap_fault() {
 0)               |            pagecache_get_page_fixed() {
 0)   0.418 us    |              find_get_entry();
 0)   0.718 us    |            }
 0)   0.052 us    |            _cond_resched();
 0)   1.333 us    |          }
 0)   1.680 us    |        }
 0)   0.054 us    |        _raw_spin_lock();
 0)               |        do_set_pte() {
 0)   0.053 us    |          add_mm_counter_fast();
 0)               |          page_add_new_anon_rmap() {
 0)   0.053 us    |            __mod_zone_page_state();
 0)               |            lru_cache_add() {
 0)   0.054 us    |              __lru_cache_add();
 0)   0.356 us    |            }
 0)   0.938 us    |          }
 0)   1.566 us    |        }
 0)               |        unlock_page() {
 0)   0.053 us    |          page_waitqueue();
 0)   0.163 us    |          __wake_up_bit();
 0)   0.734 us    |        }
 0)   0.050 us    |        put_page();
 0) + 16.455 us   |      }
 0) + 16.812 us   |    }
 0)   0.054 us    |    up_read();
 0) + 18.921 us   |  }
 0)               |  SyS_mmap() {
 0)               |    SyS_mmap_pgoff() {
 0)               |      vm_mmap_pgoff() {
 0)               |        security_mmap_file() {
 0)   0.054 us    |          cap_mmap_file();
 0)   0.338 us    |        }
 0)               |        down_write() {
 0)   0.053 us    |          _cond_resched();
 0)   0.348 us    |        }
 0)               |        do_mmap_pgoff() {
 0)               |          get_unmapped_area() {
 0)   0.066 us    |            arch_get_unmapped_area_topdown();
 0)               |            security_mmap_addr() {
 0)   0.054 us    |              cap_mmap_addr();
 0)   0.342 us    |            }
 0)   0.958 us    |          }
 0)               |          mmap_region() {
 0)               |            do_munmap() {
 0)               |              find_vma() {
 0)   0.109 us    |                vmacache_find();
 0)   0.052 us    |                vmacache_update();
 0)   0.711 us    |              }
 0)               |              find_vma() {
 0)   0.086 us    |                vmacache_find();
 0)   0.054 us    |                vmacache_update();
 0)   0.689 us    |              }
 0)               |              vma_rb_erase() {
 0)   0.073 us    |                vma_compute_subtree_gap();
 0)   0.395 us    |              }
 0)   0.060 us    |              vma_compute_subtree_gap();
 0)   0.062 us    |              vma_compute_subtree_gap();
 0)               |              unmap_region() {
 0)               |                lru_add_drain() {
 0)               |                  lru_add_drain_cpu() {
 0)               |                    pagevec_lru_move_fn() {
 0)   0.054 us    |                      _raw_spin_lock_irqsave();
 0)   0.051 us    |                      mem_cgroup_page_lruvec();
 0)               |                      __pagevec_lru_add_fn() {
 0)   0.054 us    |                        mem_cgroup_update_lru_size();
 0)   0.049 us    |                        __mod_zone_page_state();
 0)   1.221 us    |                      }
 0)   0.062 us    |                      _raw_spin_unlock_irqrestore();
 0)               |                      release_pages() {
 0)   0.052 us    |                        free_hot_cold_page_list();
 0)   0.355 us    |                      }
 0)   3.087 us    |                    }
 0)   3.463 us    |                  }
 0)   3.798 us    |                }
 0)   0.053 us    |                tlb_gather_mmu();
 0)               |                unmap_vmas() {
 0)               |                  unmap_single_vma() {
 0)   0.055 us    |                    uprobe_munmap();
 0)   0.053 us    |                    mem_cgroup_uncharge_start();
 0)   0.055 us    |                    _raw_spin_lock();
 0)   0.079 us    |                    sync_mm_rss();
 0)   0.052 us    |                    _cond_resched();
 0)   0.051 us    |                    mem_cgroup_uncharge_end();
 0)   1.947 us    |                  }
 0)   2.248 us    |                }
 0)               |                free_pgtables() {
 0)   0.057 us    |                  unlink_anon_vmas();
 0)               |                  unlink_file_vma() {
 0)               |                    mutex_lock() {
 0)   0.054 us    |                      _cond_resched();
 0)   0.372 us    |                    }
 0)               |                    __remove_shared_vm_struct() {
 0)   0.076 us    |                      vma_interval_tree_remove();
 0)   0.359 us    |                    }
 0)   0.051 us    |                    mutex_unlock();
 0)   1.548 us    |                  }
 0)   0.054 us    |                  free_pgd_range();
 0)   2.437 us    |                }
 0)               |                tlb_finish_mmu() {
 0)   0.052 us    |                  tlb_flush_mmu();
 0)   0.340 us    |                }
 0) + 10.141 us   |              }
 0)   0.060 us    |              vm_stat_account();
 0)               |              remove_vma() {
 0)   0.054 us    |                _cond_resched();
 0)               |                vma_do_fput() {
 0)   0.054 us    |                  fput();
 0)   0.343 us    |                }
 0)   0.074 us    |                kmem_cache_free();
 0)   1.253 us    |              }
 0) + 15.440 us   |            }
 0)               |            security_vm_enough_memory_mm() {
 0)               |              cap_vm_enough_memory() {
 0)   0.055 us    |                cap_capable();
 0)   0.058 us    |                __vm_enough_memory();
 0)   0.644 us    |              }
 0)   0.943 us    |            }
 0)               |            vma_merge() {
 0)   0.056 us    |              can_vma_merge_before();
 0)   0.388 us    |            }
 0)               |            kmem_cache_alloc() {
 0)   0.054 us    |              _cond_resched();
 0)   0.380 us    |            }
 0)   0.052 us    |            vma_wants_writenotify();
 0)               |            vma_link() {
 0)   0.054 us    |              __vma_link_list();
 0)               |              __vma_link_rb() {
 0)   0.064 us    |                vma_compute_subtree_gap();
 0)   0.054 us    |                vma_compute_subtree_gap();
 0)   0.058 us    |                vma_compute_subtree_gap();
 0)               |                vma_gap_callbacks_rotate() {
 0)   0.054 us    |                  vma_compute_subtree_gap();
 0)   0.366 us    |                }
 0)               |                vma_gap_callbacks_rotate() {
