# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)   0.062 us    |                              } /* free_pages_prepare */
 0)   0.055 us    |                          __mod_zone_page_state();
 0)   0.054 us    |                          mem_cgroup_page_lruvec();
 0)   0.053 us    |                          mem_cgroup_update_lru_size();
 0)   0.049 us    |                          __mod_zone_page_state();
 0)   0.054 us    |                          mem_cgroup_page_lruvec();
 0)   0.050 us    |                          mem_cgroup_update_lru_size();
 0)   0.051 us    |                          __mod_zone_page_state();
 0)   0.051 us    |                          mem_cgroup_page_lruvec();
 0)   0.049 us    |                          mem_cgroup_update_lru_size();
 0)   0.053 us    |                          __mod_zone_page_state();
 0)   0.054 us    |                          mem_cgroup_page_lruvec();
 0)   0.052 us    |                          mem_cgroup_update_lru_size();
 0)   0.053 us    |                          __mod_zone_page_state();
 0)   0.052 us    |                          mem_cgroup_page_lruvec();
 0)   0.053 us    |                          mem_cgroup_update_lru_size();
 0)   0.052 us    |                          __mod_zone_page_state();
 0)   0.053 us    |                          mem_cgroup_page_lruvec();
 0)   0.049 us    |                          mem_cgroup_update_lru_size();
 0)   0.053 us    |                          __mod_zone_page_state();
 0)   0.055 us    |                          mem_cgroup_page_lruvec();
 0)   0.050 us    |                          mem_cgroup_update_lru_size();
 0)   0.050 us    |                          __mod_zone_page_state();
 0)   0.064 us    |                          _raw_spin_unlock_irqrestore();
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.657 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.660 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.657 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.660 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.057 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.665 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.657 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.055 us    |                              get_pfnblock_flags_mask();
 0)   0.661 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.132 us    |                              get_pfnblock_flags_mask();
 0)   0.745 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.758 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.061 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.801 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.056 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.656 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.055 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.680 us    |                            }
 0) + 11.960 us   |                          }
 0) + 25.309 us   |                        }
 0)               |                        release_pages() {
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.079 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.673 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.069 us    |                              free_pages_prepare();
 0)   0.055 us    |                              get_pfnblock_flags_mask();
 0)   0.669 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.061 us    |                              free_pages_prepare();
 0)   0.051 us    |                              get_pfnblock_flags_mask();
 0)   0.657 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)               |                              free_pcppages_bulk() {
 0)   0.053 us    |                                _raw_spin_lock();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.052 us    |                                __mod_zone_page_state();
 0)   0.052 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.055 us    |                                __mod_zone_page_state();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.070 us    |                                __mod_zone_page_state();
 0)   0.052 us    |                                get_pfnblock_flags_mask();
 0)   0.051 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.051 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.052 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.055 us    |                                get_pfnblock_flags_mask();
 0)   0.051 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.052 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.055 us    |                                __mod_zone_page_state();
 0)   0.052 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.055 us    |                                get_pfnblock_flags_mask();
 0)   0.066 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.057 us    |                                __mod_zone_page_state();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.057 us    |                                __mod_zone_page_state();
 0)   0.057 us    |                                get_pfnblock_flags_mask();
 0)   0.051 us    |                                __mod_zone_page_state();
 0)   0.055 us    |                                get_pfnblock_flags_mask();
 0)   0.056 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.056 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.056 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.052 us    |                                __mod_zone_page_state();
 0)   0.053 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.054 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.052 us    |                                get_pfnblock_flags_mask();
 0)   0.053 us    |                                __mod_zone_page_state();
 0)   0.051 us    |                                get_pfnblock_flags_mask();
 0)   0.069 us    |                                __mod_zone_page_state();
 0)   0.056 us    |                                get_pfnblock_flags_mask();
 0)   0.054 us    |                                __mod_zone_page_state();
 0) + 25.333 us   |                              }
 0) + 26.247 us   |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.673 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.058 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.658 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.056 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.897 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.054 us    |                              get_pfnblock_flags_mask();
 0)   0.917 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.055 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.763 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.057 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.662 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.049 us    |                              get_pfnblock_flags_mask();
 0)   0.655 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.061 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.665 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.061 us    |                              free_pages_prepare();
 0)   0.055 us    |                              get_pfnblock_flags_mask();
 0)   0.686 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.659 us    |                            }
 0) + 39.394 us   |                          }
 0) + 39.802 us   |                        }
 0)               |                        release_pages() {
 0)               |                          free_hot_cold_page_list() {
 0)               |                            free_hot_cold_page() {
 0)   0.059 us    |                              free_pages_prepare();
 0)   0.051 us    |                              get_pfnblock_flags_mask();
 0)   0.656 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.053 us    |                              get_pfnblock_flags_mask();
 0)   0.659 us    |                            }
 0)               |                            free_hot_cold_page() {
 0)   0.060 us    |                              free_pages_prepare();
 0)   0.052 us    |                              get_pfnblock_flags_mask();
 0)   0.685 us    |                            }
 0)   2.780 us    |                          }
 0)   3.220 us    |                        }
 0) ! 152.223 us  |                      } /* free_pages_and_swap_cache */
 0) ! 260.999 us  |                    } /* tlb_flush_mmu_free */
 0) ! 262.073 us  |                  } /* tlb_flush_mmu */
 0)               |                  free_pages() {
 0)               |                    free_pages.part.70() {
 0)               |                      __free_pages() {
 0)               |                        free_hot_cold_page() {
 0)   0.058 us    |                          free_pages_prepare();
 0)   0.052 us    |                          get_pfnblock_flags_mask();
 0)   0.666 us    |                        }
 0)   0.983 us    |                      }
 0)   1.280 us    |                    }
 0)   1.578 us    |                  }
 0)               |                  free_pages() {
 0)               |                    free_pages.part.70() {
 0)               |                      __free_pages() {
 0)               |                        free_hot_cold_page() {
 0)   0.059 us    |                          free_pages_prepare();
 0)   0.051 us    |                          get_pfnblock_flags_mask();
 0)   0.660 us    |                        }
 0)   0.974 us    |                      }
 0)   1.248 us    |                    }
 0)   1.548 us    |                  }
 0) ! 266.014 us  |                } /* tlb_finish_mmu */
 0)               |                remove_vma() {
 0)   0.052 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.060 us    |                    fput();
 0)   0.600 us    |                  }
 0)   0.106 us    |                  kmem_cache_free();
 0)   1.971 us    |                }
 0)               |                remove_vma() {
 0)   0.194 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.055 us    |                    fput();
 0)   0.347 us    |                  }
 0)   0.071 us    |                  kmem_cache_free();
 0)   1.555 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.053 us    |                    fput();
 0)   0.351 us    |                  }
 0)   0.070 us    |                  kmem_cache_free();
 0)   1.297 us    |                }
 0)               |                remove_vma() {
 0)   0.053 us    |                  _cond_resched();
 0)   0.068 us    |                  kmem_cache_free();
 0)   0.799 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)   0.069 us    |                  kmem_cache_free();
 0)   1.069 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.051 us    |                    fput();
 0)   0.451 us    |                  }
 0)   0.070 us    |                  kmem_cache_free();
 0)   1.354 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.052 us    |                    fput();
 0)   0.455 us    |                  }
 0)   0.069 us    |                  kmem_cache_free();
 0)   1.350 us    |                }
 0)               |                remove_vma() {
 0)   0.054 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)   0.051 us    |                    fput();
 0)   0.354 us    |                  }
 0)   0.072 us    |                  kmem_cache_free();
 0)   1.276 us    |                }
 0)               |                remove_vma() {
 0)   0.055 us    |                  _cond_resched();
 0)               |                  vma_do_fput() {
 0)               |                    fput() {
 0)               |                      task_work_add() {
 0)   0.055 us    |                        kick_process();
 0)   0.381 us    |                      }
 0)   0.737 us    |                    }
 0)   1.169 us    |                  }
