# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
  0)   0.051 us    |      _raw_spin_unlock();
  0) + 14.321 us   |    }
  0)   0.053 us    |    up_read();
  0) + 16.261 us   |  }
  0)               |  SyS_brk() {
  0)   0.058 us    |    down_write();
  0)   0.052 us    |    up_write();
  0)   0.695 us    |  }
  0)               |  __do_page_fault() {
  0)   0.053 us    |    down_read_trylock();
  0)               |    find_vma() {
  0)   0.069 us    |      vmacache_find();
  0)   0.380 us    |    }
  0)               |    handle_mm_fault() {
  0)   0.060 us    |      __mem_cgroup_count_vm_event();
  0)   0.053 us    |      anon_vma_prepare();
  0)               |      alloc_pages_vma() {
  0)               |        get_vma_policy() {
  0)   0.066 us    |          __get_vma_policy();
  0)   0.054 us    |          get_task_policy.part.23();
  0)   0.687 us    |        }
  0)   0.059 us    |        policy_nodemask();
  0)   0.060 us    |        policy_zonelist();
  0)               |        __alloc_pages_nodemask() {
  0)   0.060 us    |          next_zones_zonelist();
  0)               |          get_page_from_freelist() {
  0)   0.058 us    |            next_zones_zonelist();
  0)   0.059 us    |            __zone_watermark_ok();
  0)   0.051 us    |            __mod_zone_page_state();
  0)               |            zone_statistics() {
  0)   0.053 us    |              __inc_zone_state();
  0)   0.060 us    |              __inc_zone_state();
  0)   0.680 us    |            }
  0)   2.546 us    |          }
  0)   3.322 us    |        }
  0)   5.217 us    |      }
  0)               |      mem_cgroup_try_charge() {
  0)   0.060 us    |        get_mem_cgroup_from_mm();
  0)   0.060 us    |        try_charge();
  0)   0.678 us    |      }
  0)   0.053 us    |      _raw_spin_lock();
  0)   0.053 us    |      add_mm_counter_fast();
  0)               |      page_add_new_anon_rmap() {
  0)   0.054 us    |        __mod_zone_page_state();
  0)   0.058 us    |        __page_set_anon_rmap();
  0)   0.713 us    |      }
  0)               |      mem_cgroup_commit_charge() {
  0)   0.052 us    |        commit_charge();
  0)   0.055 us    |        mem_cgroup_charge_statistics.isra.19();
  0)   0.050 us    |        memcg_check_events();
  0)   1.238 us    |      }
  0)               |      lru_cache_add_active_or_unevictable() {
  0)   0.053 us    |        __lru_cache_add();
  0)   0.365 us    |      }
  0)   0.052 us    |      _raw_spin_unlock();
  0) + 11.157 us   |    }
  0)   0.053 us    |    up_read();
  0) + 12.728 us   |  }
  0)               |  __do_page_fault() {
  0)   0.053 us    |    down_read_trylock();
  0)               |    find_vma() {
  0)   0.097 us    |      vmacache_find();
  0)   0.059 us    |      vmacache_update();
  0)   0.747 us    |    }
  0)               |    handle_mm_fault() {
  0)   0.053 us    |      __mem_cgroup_count_vm_event();
  0)               |      __pte_alloc() {
  0)               |        pte_alloc_one() {
  0)               |          alloc_pages_current() {
  0)   0.059 us    |            get_task_policy.part.23();
  0)   0.053 us    |            policy_nodemask();
  0)   0.054 us    |            policy_zonelist();
  0)               |            __alloc_pages_nodemask() {
  0)   0.055 us    |              next_zones_zonelist();
  0)               |              get_page_from_freelist() {
  0)   0.058 us    |                next_zones_zonelist();
  0)   0.052 us    |                __zone_watermark_ok();
  0)   0.060 us    |                __mod_zone_page_state();
  0)               |                zone_statistics() {
  0)   0.052 us    |                  __inc_zone_state();
  0)   0.058 us    |                  __inc_zone_state();
  0)   0.672 us    |                }
  0)   2.640 us    |              }
  0)   3.405 us    |            }
  0)   4.656 us    |          }
  0)   0.052 us    |          inc_zone_page_state();
  0)   5.265 us    |        }
  0)   0.053 us    |        _raw_spin_lock();
  0)   0.055 us    |        _raw_spin_unlock();
  0)   6.208 us    |      }
  0)   0.053 us    |      _raw_spin_lock();
  0)               |      filemap_map_pages() {
  0)               |        do_set_pte() {
  0)   0.060 us    |          add_mm_counter_fast();
  0)               |          page_add_file_rmap() {
  0)   0.052 us    |            mem_cgroup_begin_page_stat();
  0)               |            __inc_zone_page_state() {
  0)   0.052 us    |              __inc_zone_state();
  0)   0.357 us    |            }
  0)   0.058 us    |            mem_cgroup_update_page_stat();
  0)   0.051 us    |            mem_cgroup_end_page_stat();
  0)   1.608 us    |          }
  0)   2.238 us    |        }
  0)               |        unlock_page() {
  0)   0.119 us    |          __wake_up_bit();
  0)   0.437 us    |        }
  0)   3.330 us    |      }
  0)   0.052 us    |      _raw_spin_unlock();
  0) + 11.120 us   |    }
  0)   0.050 us    |    up_read();
  0) + 13.075 us   |  }
  0)               |  __do_page_fault() {
  0)   0.052 us    |    down_read_trylock();
  0)               |    find_vma() {
  0)   0.105 us    |      vmacache_find();
  0)   0.052 us    |      vmacache_update();
  0)   0.748 us    |    }
  0)               |    handle_mm_fault() {
  0)   0.092 us    |      __mem_cgroup_count_vm_event();
  0)               |      __do_fault() {
  0)   0.164 us    |        special_mapping_fault();
  0)   0.588 us    |      }
  0)   0.052 us    |      _raw_spin_lock();
  0)               |      do_set_pte() {
  0)   0.053 us    |        add_mm_counter_fast();
  0)               |        page_add_file_rmap() {
  0)   0.127 us    |          mem_cgroup_begin_page_stat();
  0)   0.064 us    |          mem_cgroup_end_page_stat();
  0)   0.820 us    |        }
  0)   1.569 us    |      }
  0)               |      unlock_page() {
  0)   0.112 us    |        __wake_up_bit();
  0)   0.425 us    |      }
  0)   0.053 us    |      _raw_spin_unlock();
  0)   4.813 us    |    }
  0)   0.050 us    |    up_read();
  0)   6.960 us    |  }
  0)               |  SyS_mmap() {
  0)               |    SyS_mmap_pgoff() {
  0)               |      vm_mmap_pgoff() {
  0)               |        security_mmap_file() {
  0)   0.059 us    |          cap_mmap_file();
  0)   0.360 us    |        }
  0)   0.052 us    |        down_write();
  0)               |        do_mmap_pgoff() {
  0)               |          get_unmapped_area() {
  0)               |            arch_get_unmapped_area_topdown() {
  0)   0.134 us    |              unmapped_area_topdown();
  0)   0.457 us    |            }
  0)               |            security_mmap_addr() {
  0)   0.050 us    |              cap_mmap_addr();
  0)   0.355 us    |            }
  0)   1.403 us    |          }
  0)               |          mmap_region() {
  0)               |            security_vm_enough_memory_mm() {
  0)               |              cap_vm_enough_memory() {
  0)   0.053 us    |                cap_capable();
  0)   0.073 us    |                __vm_enough_memory();
  0)   0.693 us    |              }
  0)   1.000 us    |            }
  0)               |            vma_merge() {
  0)   0.054 us    |              can_vma_merge_before();
  0)   0.420 us    |            }
  0)   0.086 us    |            kmem_cache_alloc();
  0)               |            vma_link() {
  0)   0.051 us    |              __vma_link_list();
  0)               |              __vma_link_rb() {
  0)   0.061 us    |                vma_compute_subtree_gap();
  0)   0.059 us    |                vma_compute_subtree_gap();
  0)   0.076 us    |                vma_compute_subtree_gap();
  0)   1.072 us    |              }
  0)   0.052 us    |              __vma_link_file();
  0)   2.037 us    |            }
  0)   0.065 us    |            vm_stat_account();
  0)               |            vma_set_page_prot() {
  0)   0.053 us    |              vma_wants_writenotify();
  0)   0.368 us    |            }
  0)   5.818 us    |          }
  0)   7.850 us    |        }
  0)   0.053 us    |        up_write();
  0)   9.478 us    |      }
  0)   9.830 us    |    }
  0) + 10.153 us   |  }
  0)               |  __do_page_fault() {
  0)   0.060 us    |    down_read_trylock();
  0)               |    find_vma() {
  0)   0.106 us    |      vmacache_find();
  0)   0.054 us    |      vmacache_update();
  0)   0.760 us    |    }
  0)               |    handle_mm_fault() {
  0)   0.051 us    |      __mem_cgroup_count_vm_event();
  0)               |      anon_vma_prepare() {
  0)   0.058 us    |        kmem_cache_alloc();
  0)               |        find_mergeable_anon_vma() {
  0)   0.072 us    |          reusable_anon_vma();
  0)   0.054 us    |          reusable_anon_vma();
  0)   0.682 us    |        }
  0)   0.064 us    |        kmem_cache_alloc();
  0)   0.054 us    |        down_write();
  0)   0.053 us    |        _raw_spin_lock();
  0)   0.055 us    |        anon_vma_interval_tree_insert();
  0)   0.051 us    |        _raw_spin_unlock();
  0)   0.055 us    |        up_write();
  0)   3.302 us    |      }
  0)               |      alloc_pages_vma() {
  0)               |        get_vma_policy() {
